ID	HEAD
0	54
1	56
2	57
3	59
4	63
5	94
6	109
7	113
8	134
9	157
10	511
11	513
12	523
13	602
14	582
15	566
16	562
17	563
18	564
19	565
20	567
21	568
22	583
23	0
24	1
25	2
26	3
27	4
28	5
29	6
30	7
31	8
32	9
33	10
34	11
35	12
36	13
37	14
38	15
39	16
40	17
41	18
42	19
43	20
44	21
45	22
46	23
47	26
48	25
49	24
50	27
51	28
52	29
53	30
54	31
55	32
56	33
57	34
58	35
59	36
60	37
61	38
62	39
63	40
64	41
65	42
66	43
67	44
68	45
69	46
70	623
71	624
72	726
73	727
74	728
75	729
76	730
77	731
78	732
79	851
80	852
81	853
82	854
83	855
84	856
85	857
86	858
87	739
88	740
89	741
90	742
91	743
92	744
93	745
94	746
95	747
96	748
97	1056
98	1057
99	1058
100	1059
101	1060
102	1056
103	1057
104	1058
105	1059
106	1060
107	1043
108	1044
109	1045
110	1046
111	1047
112	1043
113	1044
114	1045
115	1046
116	1047
117	1061
118	1062
119	1063
120	1064
121	1065
122	1121
123	1122
124	1123
125	1124
126	1125
127	1126
128	1127
129	1128
130	1129
131	1130
132	1131
133	1132
134	1133
135	1134
136	1135
137	1136
138	1137
139	511
140	513
141	523
142	602
143	582
144	566
145	562
146	563
147	564
148	565
149	567
150	568
151	583
152	0
153	1
154	2
155	3
156	4
157	5
158	6
159	7
160	8
161	9
162	10
163	11
164	12
165	13
166	14
167	15
168	16
169	17
170	18
171	19
172	20
173	21
174	22
175	23
176	26
177	25
178	24
179	27
180	28
181	29
182	30
183	31
184	32
185	33
186	34
187	35
188	36
189	37
190	38
191	39
192	40
193	41
194	42
195	43
196	44
197	45
198	46
199	623
200	624
201	726
202	727
203	728
204	729
205	730
206	731
207	732
208	739
209	740
210	741
211	742
212	743
213	744
214	745
215	746
216	747
217	748
218	1056
219	1057
220	1058
221	1059
222	1060
223	1056
224	1057
225	1058
226	1059
227	1060
228	1043
229	1044
230	1045
231	1046
232	1047
233	1043
234	1044
235	1045
236	1046
237	1047
238	1061
239	1062
240	1063
241	1064
242	1065
243	1121
244	1122
245	1123
246	1124
247	1125
248	1126
249	1127
250	1128
251	1129
252	1130
253	1131
254	1132
255	1133
256	1134
257	1135
258	1136
259	1137
260	1138
261	1139
262	1140
263	1141
264	1138
265	1139
266	1140
267	140
268	141
269	142
270	143
271	144
272	145
273	148
274	149
275	150
276	151
277	152
278	153
279	154
280	155
281	156
282	157
283	158
284	159
285	160
286	161
287	162
288	163
289	164
290	165
291	166
292	167
293	168
294	169
295	176
296	190
297	191
298	192
299	193
300	470
301	471
302	473
303	474
304	476
305	478
306	480
307	411
308	483
309	485
310	486
311	487
312	488
313	491
314	492
315	493
316	412
317	49
318	1042
319	501
320	502
321	680
322	505
323	506
324	507
325	508
326	509
327	510
328	652
329	664
330	669
331	670
332	671
333	673
334	674
335	675
336	676
337	694
338	54
339	56
340	57
341	59
342	63
343	94
344	109
345	113
346	134
347	157
348	851
349	852
350	853
351	854
352	855
353	856
354	857
355	858
356	1193
357	1194
358	1195
359	1196
360	1197
361	1198
362	1199
363	1200
364	1201
365	1202
366	-1
367	1204
368	1205
369	54
370	56
371	57
372	59
373	63
374	94
375	109
376	113
377	134
378	157
379	511
380	523
381	602
382	740
383	664
384	1222
385	1223
386	1224
387	1225
388	1226
389	1227
390	1228
391	1229
392	1230
393	1231
394	623
395	624
396	1121
397	1130
398	1131
399	1132
400	1133
401	1134
402	1135
403	1136
404	1137
405	1125
406	1122
407	1123
408	852
409	1249
410	1250
411	1251
412	1056
413	1057
414	1058
415	1059
416	1060
417	695
418	696
419	121
420	471
421	1126
422	1127
423	1128
424	1129
425	1329
426	1330
427	1331
428	1310
429	1311
430	1312
431	1313
432	1314
433	1315
434	1316
435	1317
436	1318
437	1319
438	1309
439	1043
440	1044
441	1046
442	726
443	1382
444	1383
445	1397
446	746
447	1310
448	1123
449	1241
450	746
451	1
452	6
453	870
454	
455	
456	1504
457	1503
458	1502
459	1538
460	1539
461	1542
462	1543
463	1569
464	1570
465	1569
466	1570
467	1569
468	1570
469	1572
470	1573
471	1582
472	1583
473	1582
474	1583
475	1582
476	1583
477	695
478	696
479	
480	
481	
482	
483	624
484	1137
485	1134
486	623
487	1133
488	1130
489	1128
490	1129
491	1126
492	1668
493	1669
494	
495	
496	742
497	695
498	567
499	566
500	1222
501	562
502	513
503	565
504	471
505	741
506	1227
507	1140
508	563
509	568
510	745
511	1138
512	43
513	42
514	740
515	696
516	582
517	1230
518	523
519	1231
520	583
521	1223
522	1228
523	602
524	1122
525	1123
526	1046
527	1064
528	1045
529	1063
530	1047
531	1065
532	1043
533	1061
534	1044
535	1062
536	743
537	1059
538	1058
539	1060
540	1056
541	1057
542	1139
543	511
544	1224
545	747
546	13
547	14
548	739
549	744
550	1229
551	1312
552	1314
553	1316
554	1313
555	1456
556	1319
557	1315
558	1397
559	1625
560	1657
561	1657
562	1885
563	1886
564	2010
565	2011
566	1314
567	1065
568	1123
569	1044
570	1062
571	1046
572	1224
573	1061
574	1043
575	746
576	1124
577	1251
578	1311
579	1311
580	1311
581	1310
582	1310
583	1310
584	1314
585	1314
586	1315
587	1315
588	1312
589	1312
590	1313
591	1313
592	1313
593	1317
594	1317
595	1316
596	1316
597	1318
598	1318
599	1319
600	1319
601	1244
602	1244
603	1244
604	1241
605	1241
606	1241
607	1246
608	1246
609	1242
610	1242
611	1243
612	1243
613	1245
614	1245
615	1245
616	1247
617	1247
618	1240
619	1240
620	1239
621	1239
622	1248
623	1248
624	2058
625	2058
626	2058
627	2059
628	2059
629	2059
630	2062
631	2062
632	2063
633	2063
634	2060
635	2060
636	2061
637	2061
638	2061
639	2065
640	2065
641	2064
642	2064
643	2066
644	2066
645	2067
646	2067
647	
648	2058
649	2059
650	2060
651	2061
652	2062
653	2063
654	2064
655	2065
656	2066
657	2067
658	
659	
660	
661	
662	
663	
664	
665	
666	
667	
668	
669	
670	
671	
672	
673	
674	
675	
676	
677	
678	
679	
680	
681	
682	
683	
684	
685	
686	
687	
688	
689	
690	
691	
692	
693	
694	
695	
696	
697	
698	
699	
700	
701	
702	
703	
704	
705	
706	
707	
708	
709	
710	
711	
712	
713	
714	
715	
716	
717	
718	
719	
720	
721	
722	
723	
724	
725	
726	
727	2058
728	2058
729	2058
730	2059
731	2059
732	2059
733	2062
734	2062
735	2063
736	2063
737	2060
738	2060
739	2061
740	2061
741	2061
742	2065
743	2065
744	2064
745	2064
