Name	Genre	DetailType	ImageName	ObjIdx	Width	Height	Intro	Script	Price	bShortKey	MaxStack
Tói d­îc phÈm	2	0	\spr\item\script\pingzi\200805\chuntiandalibao.spr	347	1	1	NhËn thuèc hç trî t©n thñ	\script\item\event\tuiduocpham.lua	100	1	0
Thiªn Hoµng LÔ Bao	2	1	\spr\item\twzhuanyun\zhuanyunbao_big.spr	448	1	1	1 bé trang bÞ Thiªn Hoµng ®Çy ®ñ	\script\item\event\lebaotrangbi.lua	100	0	0
HiÖp Cèt LÔ Bao	2	2	\spr\item\twzhuanyun\zhuanyunbao_big.spr	448	1	1	1 bé trang bÞ HiÖp Cèt ®Çy ®ñ	\script\item\event\lebaotrangbi.lua	100	0	0
Nhu T×nh LÔ Bao	2	3	\spr\item\twzhuanyun\zhuanyunbao_big.spr	448	1	1	1 bé trang bÞ Nhu T×nh ®Çy ®ñ	\script\item\event\lebaotrangbi.lua	100	0	0
An Bang Ngäc béi b¶o r­¬ng	2	4	\spr\item\script\item_qianbaoxiang.spr	41	1	1	Bªn trong cã 1 c¸i An Bang §iÒn Hoµng Th¹ch Ngäc béi	\script\item\event\baoruongtrangbi.lua	100	0	0
An Bang Th­îng giíi b¶o r­¬ng	2	5	\spr\item\script\item_qianbaoxiang.spr	41	1	1	Bªn trong cã 1 c¸i An Bang Cóc Hoa Th¹ch chØ hoµn	\script\item\event\baoruongtrangbi.lua	100	0	0
An Bang H¹ giíi b¶o r­¬ng	2	6	\spr\item\script\item_qianbaoxiang.spr	41	1	1	Bªn trong cã 1 c¸i An Bang Kª HuyÕt Th¹ch giíi chØ	\script\item\event\baoruongtrangbi.lua	100	0	0
An Bang H¹ng liªn b¶o r­¬ng	2	7	\spr\item\script\item_qianbaoxiang.spr	41	1	1	Bªn trong cã 1 c¸i An Bang B¨ng Tinh Th¹ch h¹ng liªn	\script\item\event\baoruongtrangbi.lua	100	0	0
§Þnh Quèc ¤ Sa b¶o r­¬ng	2	8	\spr\item\oldbox\oldbox.spr	41	1	1	Bªn trong cã 1 c¸i §Þnh Quèc ¤ Sa Ph¸t qu¸n	\script\item\event\baoruongtrangbi.lua	100	0	0
§Þnh Quèc Thanh Sa b¶o r­¬ng	2	9	\spr\item\oldbox\oldbox.spr	41	1	1	Bªn trong cã 1 c¸i §Þnh Quèc Thanh Sa tr­êng sam	\script\item\event\baoruongtrangbi.lua	100	0	0
§Þnh Quèc XÝch Quyªn b¶o r­¬ng	2	10	\spr\item\oldbox\oldbox.spr	41	1	1	Bªn trong cã 1 c¸i §Þnh Quèc XÝch Quyªn NhuyÔn ngoa	\script\item\event\baoruongtrangbi.lua	100	0	0
§Þnh Quèc Tö §»ng b¶o r­¬ng	2	11	\spr\item\oldbox\oldbox.spr	41	1	1	Bªn trong cã 1 c¸i §Þnh Quèc Tö §»ng hé uyÓn	\script\item\event\baoruongtrangbi.lua	100	0	0
§Þnh Quèc Ng©n Tµm b¶o r­¬ng	2	12	\spr\item\oldbox\oldbox.spr	41	1	1	Bªn trong cã 1 c¸i §Þnh Quèc Ng©n Tµm yªu ®¸i	\script\item\event\baoruongtrangbi.lua	100	0	0
