PlatinaItem	OldLevel	MaxDurability	Comment
0	5	1000%	[天赐的]梦龙之正黄僧帽
1	5	1000%	[天赐的]梦龙之金丝正红袈裟
2	5	1000%	[天赐的]梦龙之玄丝法带
3	5	800	[天赐的]梦龙之佛法玄佩
4	5	800	[天赐的]梦龙之紫金般若戒
5	5	1000%	[天赐的]伏魔之紫金棍
6	5	1000%	[天赐的]伏魔之无量金刚腕
7	5	1000%	[天赐的]伏魔之乌金软绦
8	5	800	[天赐的]伏魔之佛心软扣
9	5	1000%	[天赐的]伏魔之普渡僧鞋
10	5	1000%	[天赐的]四空之降魔戒刀
11	5	1000%	[天赐的]四空之达摩僧鞋
12	5	1000%	[天赐的]四空之护法腰带
13	5	1000%	[天赐的]四空之软皮护腕
14	5	800	[天赐的]四空之戒律法戒
15	5	1000%	[天赐的]撼天之金环大眼神锤
16	5	1000%	[天赐的]撼天之武神镶金甲
17	5	1000%	[天赐的]撼天之威武束腰环
18	5	1000%	[天赐的]撼天之虎头紧束腕
19	5	1000%	[天赐的]撼天之乘龙战靴
20	5	1000%	[天赐的]继业之奔雷钻龙枪
21	5	1000%	[天赐的]继业之玄武黄金铠
22	5	1000%	[天赐的]继业之白虎无双扣
23	5	1000%	[天赐的]继业之火云麒麟手
24	5	1000%	[天赐的]继业之朱雀凌云靴
25	5	1000%	[天赐的]御龙之亮银宝刀
26	5	800	[天赐的]御龙之战神挂坠
27	5	1000%	[天赐的]御龙之天门束腰环
28	5	1000%	[天赐的]御龙之迅风发箍
29	5	800	[天赐的]御龙之绝命指环
30	5	1000%	[天赐的]无间之倚天剑
31	5	1000%	[天赐的]无间之清风软屐
32	5	1000%	[天赐的]无间之拂云丝带
33	5	1000%	[天赐的]无间之琴韵护腕
34	5	800	[天赐的]无间之白玉般指
35	5	1000%	[天赐的]无魇之摩尼冠
36	5	1000%	[天赐的]无魇之秋水流光带
37	5	800	[天赐的]无魇之冰晶指环
38	5	800	[天赐的]无魇之洗象玉扣
39	5	1000%	[天赐的]无魇之红缁软禢鞋
40	5	1000%	[天赐的]无尘之玉女素心冠
41	5	800	[天赐的]无尘之清心向善珠
42	5	800	[天赐的]无尘之慈悲玉般指
43	5	800	[天赐的]无尘之静影流苏
44	5	800	[天赐的]无尘之佛光指环
