Name	ItemGenre	DetailType	ParticularType	Image	ObjDrop	Width	Height	Descript	Series	Price	Level	Magic1	Min1	Max1	Magic2	Min2	Max2	Magic3	Min3	Max3	Magic4	Min4	Max4	Magic5	Min5	Max5	Magic6	Min6	Max6	Magic7	Min7	Max7	Require1	Data1	Require2	Data2	Require3	Data3	Require4	Data4	Require5	Data5	Require6	Data6	DefMagic1_0	DefMagic1_10	DefMagic2_0	DefMagic2_10	DefMagic3_0	DefMagic3_10	DefMagic4_0	DefMagic4_10	DefMagic5_0	DefMagic5_10	DefMagic6_0	DefMagic6_10	Group	NeedToActive1	NeedToActive2	SetId	ExpandMagic1	ExpandMagic2
[Thiªn Tø] Méng Long ChÝnh Hång T¨ng M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	Trang bÞ B¹ch Kim	1	49999	10	30	360	360	31	85	85																36	120	32	160	39	0							2	616	171	171	46	591	311	598	599	601	155	155	1	5	5	1	768	798
[Thiªn Tø] Méng Long Kim Ti ChÝnh Hång Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	Trang bÞ B¹ch Kim	2	49999	10	30	720	720	31	90	90																36	120	32	260	39	0							2	616	40	675	170	170	307	637	6	609	324	324	1	5	5	2	846	851
[Thiªn Tø] Méng Long HuyÒn Ti Ph¸t §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bÞ B¹ch Kim	0	49999	10	30	160	160	31	80	80																36	120	32	135	39	0							418	4	309	639	172	172	311	598	416	641	417	31	1	5	5	3	775	807
[Thiªn Tø] Méng Long PhËt Ph¸p HuyÒn Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bÞ B¹ch Kim	4	49999	10																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			1	5	5	4	879	878
[Thiªn Tø] Méng Long Tö Kim Bµn Nh­îc Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ B¹ch Kim	0	49999	10	30	160	160	31	80	80																36	120	32	135	39	0							2	2	104	104	6	6	311	311					1	5	5	5		
[Thiªn Tø] Phôc Ma Tö Kim C«n	0	0	2	\spr\item\equip\closeweapon\obj-staff15.spr	11	1	4	Trang bÞ B¹ch Kim	0	49999	10	28	69	69	29	128	128	167	-10	-10	31	99	99										36	120	32	180	39	0							48	592	43	43	52	625	71	594	113	595	155	155	2	5	5	1	766	767
[Thiªn Tø] Phôc Ma V« L­îng Kim C­¬ng UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bÞ B¹ch Kim	1	49999	10	30	720	720	31	90	90																36	120	32	260	39	0							2	2	306	306	175	175	307	307					2	5	5	2		
[Thiªn Tø] Phôc Ma ¤ Kim NhuyÔn §iÒu	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	Trang bÞ B¹ch Kim	3	49999	10	30	160	160	31	80	80																36	120	32	135	39	0							418	4	309	639	177	177	311	598	416	641	417	31	2	5	5	3	776	808
[Thiªn Tø] Phôc Ma PhËt T©m NhuyÔn KhÊu	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bÞ B¹ch Kim	1	49999	10																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			2	5	5	4	881	880
[Thiªn Tø] Phôc Ma Phæ §é T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ B¹ch Kim	2	49999	10	30	160	160	31	80	80																36	120	32	135	39	0							2	616	325	325	320	588	88	419	6	609	437	309	2	5	5	5	848	852
[Thiªn Tø] Tø Kh«ng Gi¸ng Ma Giíi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Trang bÞ B¹ch Kim	0	49999	10	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	0							2	616	43	43	48	592	71	593	113	595	155	155	3	5	5	1	766	767
[Thiªn Tø] Tø Kh«ng §¹t Ma T¨ng Hµi	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ B¹ch Kim	2	49999	10	30	720	720	31	90	90																36	120	32	260	39	0							2	2	306	306	178	178	317	317					3	5	5	2		
[Thiªn Tø] Tø Kh«ng Hé Ph¸p Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	Trang bÞ B¹ch Kim	3	49999	10	30	160	160	31	80	80																36	120	32	135	39	0							2	616	309	639	177	177	311	598	416	641	425	643	3	5	5	3	777	809
[Thiªn Tø] Tø Kh«ng NhuyÔn B× Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ B¹ch Kim	1	49999	10	30	135	135	31	80	80																36	120	32	110	39	0							2	616	417	31	326	326	311	598	6	609	179	179	3	5	5	4	849	853
[Thiªn Tø] Tø Kh«ng Giíi LuËt Ph¸p Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ B¹ch Kim	2	49999	10																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			3	5	5	5	883	882
[Thiªn Tø] H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha05.spr	13	2	2	Trang bÞ B¹ch Kim	2	49999	10	28	55	55	29	165	165	167	-30	-30	31	99	99										36	120	32	235	39	1							135	135	50	599	46	592	69	593	110	111	73	73	4	5	5	1	766	767
[Thiªn Tø] H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bÞ B¹ch Kim	0	49999	10	30	720	720	31	90	90																36	120	32	260	39	1							2	2	306	306	180	180	311	311					4	5	5	2		
[Thiªn Tø] H¸m Thiªn Uy Vò Thóc Yªu Hoµn	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Trang bÞ B¹ch Kim	4	49999	10	30	160	160	31	80	80																36	120	32	135	39	1							2	616	309	639	191	191	311	598	416	641	156	156	4	5	5	3	779	811
