·û³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þ·û	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	Ëµ·÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	MaxStack	Ò©Æ·ÊôÐÔ1	ÊôÐÔ1ÊýÖµ	ÊôÐÔ1Ê±¼ä(ÓÎÏ·Ñ­»·Êý£©	Ò©Æ·ÊôÐÔ2	ÊôÐÔ2ÊýÖµ	ÊôÐÔ2Ê±¼ä	Ò©Æ·ÊôÐÔ3	ÊôÐÔ3ÊýÖµ	ÊôÐÔ3Ê±¼ä	Ò©Æ·ÊôÐÔ4	ÊôÐÔ4ÊýÖµ	ÊôÐÔ4Ê±¼ä	Ò©Æ·ÊôÐÔ5	ÊôÐÔ5ÊýÖµ	ÊôÐÔ5Ê±¼ä
Kim S¸ng D­îc (tiÓu)	1	0	0	\spr\item\medecine\obj-potion01.spr	18	1	1	Phôc håi chót Ýt khÝ huyÕt		60	1	0	153	25	100												
Kim S¸ng D­îc (trung)	1	0	0	\spr\item\medecine\obj-potion01.spr	18	1	1	Håi phôc khÝ huyÕt t­¬ng ®èi nhanh		250	2	0	153	100	100												
Kim S¸ng D­îc (®¹i)	1	0	0	\spr\item\medecine\obj-potion02.spr	307	1	1	Håi phôc khÝ huyÕt cùc nhanh		300	3	0	153	150	200												
Håi Thiªn §an	1	0	0	\spr\item\medecine\obj-potion02.spr	307	1	1	ThÇn d­îc ch÷a th­¬ng, c¶i tö hoµn sinh		600	4	0	153	250	200												
Cöu ChuyÓn Hoµn Hån §an	1	0	0	\spr\item\medecine\obj-potion03.spr	310	1	1	LËp tøc håi phôc 5000 ®iÓm Sinh lùc		3600	5	0	153	500	100												
Ng­ng ThÇn §an (tiÓu)	1	1	0	\spr\item\medecine\obj-potion06.spr	20	1	1	Cã thÓ phôc håi chót Ýt Néi l­c'		60	1	0	154	50	100												
Ng­ng ThÇn §an (trung)	1	1	0	\spr\item\medecine\obj-potion06.spr	20	1	1	Håi phôc Néi lùc t­¬ng ®èi nhanh		120	2	0	154	100	100												
Ng­ng ThÇn §an (®¹i)	1	1	0	\spr\item\medecine\obj-potion07.spr	309	1	1	Håi phôc Néi lùc cùc nhanh		300	3	0	154	150	200												
§¹i Bæ T¸n	1	1	0	\spr\item\medecine\obj-potion07.spr	309	1	1	Phôc håi néi lùc trong nh¸y m¾t		600	4	0	154	250	200												
¤ §Çu Hoµn ThÇn §an	1	1	0	\spr\item\medecine\obj-potion08.spr	312	1	1	LËp tøc phôc håi 5000 ®iÓm Néi lùc		3600	5	0	154	500	100												
